event,date,player,elo,color,opponent,result,avg_cp_loss,std_cp_loss
Hoogovens 5',1999.01.18,"Svidler, Peter",2713.0,black,"Anand, Viswanathan",lost,58.333333333333336,51.45359289906024
Hoogovens 5',1999.01.18,"Kramnik, Vladimir",2751.0,white,"Anand, Viswanathan",draw,48.05263157894737,112.42797632927422
Hoogovens 5',1999.01.18,"Anand, Viswanathan",2784.0,black,"Kramnik, Vladimir",draw,47.63157894736842,89.58278178446886
Hoogovens,1999.01.19,"Shirov, Alexei",2726.0,white,"Anand, Viswanathan",draw,29.266666666666666,54.883472517284794
Hoogovens,1999.01.19,"Anand, Viswanathan",2784.0,black,"Shirov, Alexei",draw,25.5,49.854956289888236
Hoogovens,1999.01.20,"Anand, Viswanathan",2784.0,white,"Kasimdzhanov, Rustam",won,14.448275862068966,21.308224423021056
Hoogovens,1999.01.20,"Kasimdzhanov, Rustam",2595.0,black,"Anand, Viswanathan",lost,41.285714285714285,74.49729484199752
Hoogovens,1999.01.21,"Sokolov, Ivan",2610.0,white,"Anand, Viswanathan",draw,10.0,10.392304845413264
Hoogovens,1999.01.21,"Anand, Viswanathan",2784.0,black,"Sokolov, Ivan",draw,7.333333333333333,10.561986345169906
Hoogovens,1999.01.23,"Ivanchuk, Vassily",2714.0,white,"Anand, Viswanathan",draw,35.714285714285715,42.09755434265337
Hoogovens,1999.01.23,"Anand, Viswanathan",2784.0,black,"Ivanchuk, Vassily",draw,35.84615384615385,49.536072565425506
Hoogovens,1999.01.24,"Anand, Viswanathan",2784.0,white,"Timman, Jan H",won,34.166666666666664,60.73608665548202
Hoogovens,1999.01.24,"Timman, Jan H",2649.0,black,"Anand, Viswanathan",lost,61.689655172413794,108.76393400967255
Hoogovens,1999.01.25,"Svidler, Peter",2710.0,white,"Anand, Viswanathan",draw,7.466666666666667,8.1475285959745
Hoogovens,1999.01.25,"Anand, Viswanathan",2780.0,black,"Svidler, Peter",draw,4.714285714285714,6.648615016125769
Hoogovens,1999.01.26,"Anand, Viswanathan",2784.0,white,"Kramnik, Vladimir",draw,12.294117647058824,15.747136829884358
Hoogovens,1999.01.26,"Kramnik, Vladimir",2751.0,black,"Anand, Viswanathan",draw,11.764705882352942,22.670347078909064
Hoogovens,1999.01.28,"Kasparov, Gary",2812.0,white,"Anand, Viswanathan",draw,18.583333333333332,17.7832239921662
Hoogovens,1999.01.28,"Anand, Viswanathan",2784.0,black,"Kasparov, Gary",draw,16.363636363636363,13.492575246292292
Hoogovens,1999.01.29,"Anand, Viswanathan",2784.0,white,"Van Wely, Loek",won,30.36,33.63495800502804
Hoogovens,1999.01.29,"Van Wely, Loek",2636.0,black,"Anand, Viswanathan",lost,44.734693877551024,57.36484577708492
Hoogovens,1999.01.31,"Anand, Viswanathan",2784.0,white,"Topalov, Veselin",won,43.83870967741935,95.84062603267505
Hoogovens,1999.01.31,"Topalov, Veselin",2700.0,black,"Anand, Viswanathan",lost,72.36666666666666,98.862019445735
Linares16th,1999.02.21,"Ivanchuk, Vassily",2710.0,white,"Anand, Viswanathan",draw,18.125,20.005858516944482
Linares16th,1999.02.21,"Anand, Viswanathan",2780.0,black,"Ivanchuk, Vassily",draw,19.8,22.22071105972984
Linares16th,1999.02.22,"Anand, Viswanathan",2781.0,white,"Leko, Peter",draw,22.428571428571427,31.116633782579758
Linares16th,1999.02.22,"Leko, Peter",2694.0,black,"Anand, Viswanathan",draw,16.142857142857142,14.004372495031394
Linares16th,1999.02.23,"Kasparov, Gary",2812.0,white,"Anand, Viswanathan",draw,22.42105263157895,26.54354077335395
Linares16th,1999.02.23,"Anand, Viswanathan",2781.0,black,"Kasparov, Gary",draw,22.666666666666668,26.766479866512977
Linares16th,1999.02.25,"Anand, Viswanathan",2781.0,white,"Topalov, Veselin",draw,25.0,39.944506961078346
Linares16th,1999.02.25,"Topalov, Veselin",2700.0,black,"Anand, Viswanathan",draw,22.472727272727273,36.62828243830395
Linares16th,1999.02.27,"Anand, Viswanathan",2781.0,white,"Svidler, Peter",won,41.666666666666664,73.57104330304425
Linares16th,1999.02.27,"Svidler, Peter",2713.0,black,"Anand, Viswanathan",lost,86.4,159.90040650354834
Linares16th,1999.03.01,"Adams, Michael",2716.0,white,"Anand, Viswanathan",draw,22.894736842105264,27.40129604472657
